ID,effect,group,term,estimate,std.error,statistic,df,p.value,Outcome_Variable,Avg_R_squared,Avg_RMSE,BIC,p.value.adjusted
6,fixed,,new_injury_severity2:months_since_bl_exam,0.0004803644426357144,0.00019689494451482207,2.4396992204111814,2769.8128364432123,0.014761829124674,Left Amygdala,0.3884561376648899,0.116362592444715,-11260.305920211293,0.028229552943821
9,fixed,,new_injury_severity2:months_since_bl_exam,0.0015733144619859,0.0005466767609163384,2.8779611179168847,2794.308600876526,0.0040329275322415,Left Caudate,0.2234586856348747,0.3677093444014938,-3922.022859923274,0.0084439420206307
21,fixed,,new_injury_severity2:months_since_bl_exam,-0.0004845146813192096,0.00017890131171565627,-2.708279087910164,2792.1949548779826,0.006804559065501,Right Lateral Ventricle,0.0746534066277775,0.1506326760876651,-11419.16331280593,0.0136967304794848
36,fixed,,new_injury_severity2:months_since_bl_exam,0.0002494531587997966,0.00010573224076520912,2.3592913286850385,2815.959457709036,0.0183777830046473,Right Basal Forebrain,0.2856218125480735,0.0441037826883837,-16160.529751817608,0.0345112321488673
38,fixed,,new_injury_severity2:months_since_bl_exam,-0.0015165824963334,0.0005216599494974324,-2.9072243284048898,2743.7521121272453,0.0036757641199539,Left ACgG anterior cingulate gyrus,0.3883684180860067,0.4217055528839148,-3956.982190706688,0.0077306429249254
66,fixed,,new_injury_severity2:months_since_bl_exam,-0.0021860398179172,0.0009692891830422544,-2.2553019843428106,2797.6275535916047,0.0241913563128036,Left LiG lingual gyrus,0.450456376272844,0.6046939230323132,11.940834421479195,0.0443193207449411
99,fixed,,new_injury_severity2:months_since_bl_exam,-0.0011201152015306,0.00048707369787526943,-2.2996832028025027,2782.689217575887,0.0215398742874796,Right PHG parahippocampal gyrus,0.5040605297837337,0.3227179435883121,-4730.958246963104,0.0400483688437183
108,fixed,,new_injury_severity2:months_since_bl_exam,-0.0011415737349986,0.0004498237437680928,-2.5378245386422997,2798.2854439206267,0.0112082062916208,Left POrG posterior orbital gyrus,0.387016171050195,0.2745542959940339,-5415.272068312418,0.0217666614938723
